frame,expression
1485,neutral
1490,neutral
1495,neutral
1500,neutral
1505,neutral
1510,neutral
1515,neutral
1520,neutral
1525,neutral
1530,neutral
1535,neutral
1540,neutral
1545,neutral
1550,neutral
1555,neutral
1560,neutral
1565,neutral
1570,neutral
1575,neutral
1580,neutral
1585,neutral
1590,neutral
1595,neutral
1600,neutral
1605,neutral
1610,neutral
1615,neutral
1620,neutral
1625,neutral
1630,neutral
1635,neutral
1640,neutral
1645,neutral
1650,neutral
1655,neutral
1660,neutral
1665,neutral
1670,neutral
1675,neutral
1680,neutral
1685,neutral
1690,neutral
1695,neutral
1700,neutral
1705,neutral
1710,neutral
1715,neutral
1720,neutral
1725,neutral
1730,neutral
1735,neutral
1740,neutral
1745,neutral
1750,neutral
1755,neutral
1760,neutral
1765,neutral
1770,neutral
1775,neutral
1780,neutral
1785,neutral
1790,neutral
1795,neutral
1800,neutral
1805,neutral
1810,neutral
1815,neutral
1820,neutral
1825,neutral
1830,neutral
1835,neutral
1840,neutral
1845,neutral
1850,neutral
1855,neutral
1860,neutral
1865,neutral
1870,neutral
1875,neutral
1880,neutral
1885,neutral
1890,neutral
1895,neutral
1900,neutral
1905,neutral
1910,neutral
1915,neutral
1920,neutral
1925,neutral
1930,neutral
1935,neutral
1940,neutral
1945,neutral
1950,neutral
1955,neutral
1960,neutral
1965,neutral
1970,neutral
1975,neutral
1980,neutral
1985,neutral
1990,neutral
1995,neutral
2000,neutral
2005,neutral
2010,neutral
2015,neutral
2020,neutral
2025,neutral
2030,neutral
2035,neutral
2040,neutral
2045,neutral
2050,neutral
2055,neutral
2060,neutral
2065,neutral
2070,neutral
2075,neutral
2080,neutral
2085,neutral
2090,neutral
2095,neutral
2100,neutral
2105,neutral
2110,neutral
2115,neutral
2120,neutral
2125,neutral
2130,neutral
2135,neutral
2140,neutral
2145,neutral
2150,neutral
2155,neutral
2160,neutral
2165,neutral
2170,neutral
2175,neutral
2180,neutral
2185,neutral
2190,neutral
2195,neutral
2200,neutral
2205,neutral
2210,neutral
2215,neutral
2220,neutral
2225,neutral
2230,neutral
2235,neutral
2240,neutral
2245,neutral
2250,neutral
2255,neutral
2260,neutral
2265,neutral
2270,neutral
2275,neutral
2280,neutral
2285,neutral
2290,neutral
2295,neutral
2300,neutral
2305,neutral
2310,neutral
2315,neutral
2320,neutral
2325,neutral
2330,neutral
2335,neutral
2340,neutral
2345,neutral
2350,neutral
2355,neutral
2360,neutral
2365,neutral
2370,neutral
2375,neutral
2380,neutral
2385,neutral
2390,neutral
2395,neutral
2400,neutral
2405,neutral
2410,neutral
2415,neutral
2420,neutral
2425,neutral
2430,neutral
2435,neutral
2440,neutral
2445,neutral
2450,neutral
2455,neutral
2460,neutral
2465,neutral
2470,neutral
2475,neutral
2480,neutral
2485,neutral
2490,neutral
2495,neutral
2500,neutral
2505,neutral
2510,neutral
2515,neutral
2520,neutral
2525,neutral
2530,neutral
2535,neutral
2540,neutral
2545,neutral
2550,neutral
2555,neutral
2560,neutral
2565,neutral
2570,neutral
2575,neutral
2580,neutral
2585,neutral
2590,neutral
2595,neutral
2600,neutral
2605,neutral
2610,neutral
2615,neutral
2620,neutral
2625,neutral
2630,neutral
2635,neutral
2640,neutral
2645,neutral
2650,neutral
2655,neutral
2660,neutral
2665,neutral
2670,neutral
2675,neutral
2680,neutral
2685,neutral
